% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 86.48    0.021820        7273         3           wait4
  2.98    0.000752           9        81        48 stat
  2.70    0.000682          13        49        38 openat
  2.09    0.000528          11        47        30 access
  1.22    0.000308          12        24           lstat
  0.76    0.000192          64         3           vfork
  0.61    0.000153          12        12           mmap
  0.59    0.000149           8        17           close
  0.31    0.000078           9         8           readlink
  0.30    0.000075           8         9           rt_sigaction
  0.28    0.000070           8         8           fstat
  0.24    0.000061          15         4           mprotect
  0.23    0.000058          19         3           unlink
  0.21    0.000054           9         6           read
  0.21    0.000053           8         6           pread64
  0.18    0.000046           9         5           ioctl
  0.15    0.000037          12         3           pipe2
  0.11    0.000028           7         4           brk
  0.10    0.000026          26         1           munmap
  0.08    0.000021           7         3           getpid
  0.06    0.000016           8         2           getcwd
  0.06    0.000016           8         2           prlimit64
  0.03    0.000008           4         2         1 arch_prctl
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    0.025231                   303       117 total
